                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.4256,                 2.9206,                  1.181,                0.06871,                0.28096,                0.10867,                0.04944,                 1.9576,                 4.8178,                 1.5882,             7.5273e-05,             7.5273e-05,             7.5273e-05
                     34,                 1.4175,                 2.9017,                 1.1909,                0.16603,                0.16999,                0.10512,                0.05071,                 1.9602,                 4.8563,                 1.5975,             7.7339e-05,             7.7339e-05,             7.7339e-05
                     35,                 1.3778,                 2.7887,                 1.1499,                0.17772,                0.16873,                0.11075,                0.05224,                 1.9867,                 4.8944,                 1.6105,             7.9387e-05,             7.9387e-05,             7.9387e-05
                     36,                 1.3899,                 2.7523,                  1.177,                0.28324,                 0.1959,                0.12262,                0.05689,                 2.0256,                 4.8699,                 1.6279,             8.1418e-05,             8.1418e-05,             8.1418e-05
                     37,                 1.3706,                 2.6074,                 1.1664,                0.37411,                0.17446,                0.14245,                0.06568,                 2.0861,                   4.73,                 1.6643,             8.3432e-05,             8.3432e-05,             8.3432e-05
                     38,                 1.3885,                 2.5582,                 1.1576,                0.44124,                0.15238,                0.14227,                0.06204,                 2.1503,                 4.4325,                 1.7006,             8.5428e-05,             8.5428e-05,             8.5428e-05
                     39,                 1.3097,                  2.469,                  1.119,                0.43439,                0.14627,                0.13765,                0.05946,                 2.1845,                 4.1059,                 1.7279,             8.7408e-05,             8.7408e-05,             8.7408e-05
                     40,                 1.3149,                 2.4299,                 1.1429,                 0.4663,                0.14377,                0.13437,                0.05898,                 2.1783,                 3.8584,                 1.7249,             8.9369e-05,             8.9369e-05,             8.9369e-05
                     41,                 1.3069,                 2.3724,                 1.1442,                 0.4341,                0.17402,                0.13925,                0.05924,                 2.1496,                 3.6516,                  1.711,             9.1314e-05,             9.1314e-05,             9.1314e-05
                     42,                 1.3217,                 2.3051,                 1.1269,                0.26411,                0.22818,                 0.1508,                0.06924,                 2.1222,                 3.5162,                 1.6848,             9.3241e-05,             9.3241e-05,             9.3241e-05
                     43,                 1.3517,                 2.2931,                 1.1196,                0.49242,                0.18899,                 0.1779,                0.08418,                 2.0883,                 3.4224,                 1.6562,              9.515e-05,              9.515e-05,              9.515e-05
                     44,                 1.2578,                  2.213,                  1.107,                0.57858,                0.19007,                0.19864,                  0.096,                 2.0714,                 3.3196,                 1.6315,             9.7043e-05,             9.7043e-05,             9.7043e-05
                     45,                  1.251,                 2.1297,                 1.1223,                0.54112,                0.19317,                0.19546,                0.09495,                 2.0517,                 3.2268,                  1.612,             9.8917e-05,             9.8917e-05,             9.8917e-05
                     46,                  1.258,                 2.0605,                 1.0862,                0.54068,                0.18851,                0.20203,                0.09842,                 2.0443,                 3.1536,                 1.6065,             0.00010078,             0.00010078,             0.00010078
