                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.3312,                  2.073,                 1.1355,                0.49308,                0.30679,                0.27537,                0.14811,                 1.9325,                 3.1267,                 1.4924,             7.5273e-05,             7.5273e-05,             7.5273e-05
                     34,                 1.2785,                 1.9785,                 1.1113,                0.54897,                0.31741,                0.29345,                  0.147,                 1.9178,                 3.0508,                 1.4802,             7.7339e-05,             7.7339e-05,             7.7339e-05
                     35,                 1.2558,                 1.9947,                 1.0742,                0.51015,                0.32632,                0.30074,                0.14872,                 1.9021,                 2.9788,                 1.4721,             7.9387e-05,             7.9387e-05,             7.9387e-05
                     36,                 1.3401,                 1.9219,                 1.1502,                0.40129,                0.33996,                0.30954,                0.15399,                 1.8951,                 2.8783,                 1.4807,             8.1418e-05,             8.1418e-05,             8.1418e-05
                     37,                 1.2402,                 1.8859,                 1.1098,                0.35767,                0.33099,                0.32042,                 0.1706,                 1.9075,                 2.7403,                 1.5009,             8.3432e-05,             8.3432e-05,             8.3432e-05
                     38,                 1.3043,                 1.8232,                 1.1387,                0.28275,                0.33092,                0.28974,                0.16275,                 1.9351,                 2.5794,                 1.5199,             8.5428e-05,             8.5428e-05,             8.5428e-05
                     39,                 1.1762,                  1.691,                 1.0811,                0.36867,                 0.3112,                0.29417,                0.16806,                 1.9241,                 2.5225,                 1.5155,             8.7408e-05,             8.7408e-05,             8.7408e-05
                     40,                 1.2434,                 1.7662,                 1.1128,                0.40274,                0.32126,                0.32413,                0.18217,                 1.8879,                 2.5656,                 1.4988,             8.9369e-05,             8.9369e-05,             8.9369e-05
                     41,                 1.2527,                 1.6919,                 1.1005,                0.31868,                0.35661,                0.33355,                0.18916,                 1.8883,                 2.5935,                 1.4859,             9.1314e-05,             9.1314e-05,             9.1314e-05
                     42,                 1.2464,                 1.6326,                 1.0885,                0.70915,                0.26002,                0.36283,                 0.1943,                 1.8832,                 2.5174,                 1.4709,             9.3241e-05,             9.3241e-05,             9.3241e-05
